"munResCod";"munResStatus";"munResTipo";"munResNome";"munResUf";"munResLat";"munResLon";"munResAlt";"munResArea"
0;"IGNOR";"IGNOR";"Ignorado ou exterior";"";NA;NA;NA;NA
110000;"IGNOR";"IGNOR";"Município ignorado - RO";"Rondônia";NA;NA;NA;NA
110001;"ATIVO";"MUNIC";"Alta Floresta D'Oeste";"Rondônia";-11,93554;-61,99982;338;7067,025
110002;"ATIVO";"MUNIC";"Ariquemes";"Rondônia";-9,90846;-63,03327;139;4426,571
110003;"ATIVO";"MUNIC";"Cabixi";"Rondônia";-13,49976;-60,54431;236;1314,352
110004;"ATIVO";"MUNIC";"Cacoal";"Rondônia";-11,43387;-61,44294;177;3792,998
110005;"ATIVO";"MUNIC";"Cerejeiras";"Rondônia";-13,19503;-60,81843;263;2783,3
110006;"ATIVO";"MUNIC";"Colorado do Oeste";"Rondônia";-13,13056;-60,55507;419;1451,06
110007;"ATIVO";"MUNIC";"Corumbiara";"Rondônia";-12,99752;-60,9487;269;3060,321
110008;"ATIVO";"MUNIC";"Costa Marques";"Rondônia";-12,43601;-64,23165;145;4987,177
110009;"ATIVO";"MUNIC";"Espigão D'Oeste";"Rondônia";-11,52855;-61,02017;263;4518,035
110010;"ATIVO";"MUNIC";"Guajará-Mirim";"Rondônia";-10,77388;-65,32395;133;24855,724
110011;"ATIVO";"MUNIC";"Jaru";"Rondônia";-10,43595;-62,47623;163;2944,128
110012;"ATIVO";"MUNIC";"Ji-Paraná";"Rondônia";-10,88205;-61,94509;157;6896,648
110013;"ATIVO";"MUNIC";"Machadinho D'Oeste";"Rondônia";-9,42556;-61,99959;144;8509,27
110014;"ATIVO";"MUNIC";"Nova Brasilândia D'Oeste";"Rondônia";-11,72133;-62,30823;259;1703,008
110015;"ATIVO";"MUNIC";"Ouro Preto do Oeste";"Rondônia";-10,72357;-62,26106;252;1969,85
110018;"ATIVO";"MUNIC";"Pimenta Bueno";"Rondônia";-11,67754;-61,18367;186;6240,932
110020;"ATIVO";"MUNIC";"Porto Velho";"Rondônia";-8,76889;-63,83145;87;34096,394
110025;"ATIVO";"MUNIC";"Presidente Médici";"Rondônia";-11,17321;-61,90944;178;1758,465
110026;"ATIVO";"MUNIC";"Rio Crespo";"Rondônia";-9,70554;-62,90001;124;1717,64
110028;"ATIVO";"MUNIC";"Rolim de Moura";"Rondônia";-11,72226;-61,78578;227;1457,888
110029;"ATIVO";"MUNIC";"Santa Luzia D'Oeste";"Rondônia";-11,90842;-61,77331;265;1197,796
110030;"ATIVO";"MUNIC";"Vilhena";"Rondônia";-12,74137;-60,13858;595;11518,915
110032;"ATIVO";"MUNIC";"São Miguel do Guaporé";"Rondônia";-11,69949;-62,72006;191;7460,219
110033;"ATIVO";"MUNIC";"Nova Mamoré";"Rondônia";-10,41177;-65,32915;151;10071,643
110034;"ATIVO";"MUNIC";"Alvorada D'Oeste";"Rondônia";-11,34413;-62,27727;182;3029,189
110037;"ATIVO";"MUNIC";"Alto Alegre dos Parecis";"Rondônia";-12,13178;-61,85308;397;3958,273
110040;"ATIVO";"MUNIC";"Alto Paraíso";"Rondônia";-9,71667;-63,31763;128;2651,822
110045;"ATIVO";"MUNIC";"Buritis";"Rondônia";-10,20981;-63,82968;153;3265,809
110050;"ATIVO";"MUNIC";"Novo Horizonte do Oeste";"Rondônia";-11,70974;-61,99439;230;843,446
110060;"ATIVO";"MUNIC";"Cacaulândia";"Rondônia";-10,33887;-62,90319;161;1961,778
110070;"ATIVO";"MUNIC";"Campo Novo de Rondônia";"Rondônia";-10,56842;-63,62499;206;3442,005
