cod;value
0101010010;ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO BÁSICA
0101010028;ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA
0101010036;PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO
0101010044;PRÁTICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA
0101010052;TERAPIA COMUNITARIA
0101010060;DANÇA CIRCULAR/BIODANÇA
0101010079;YOGA
0101010087;OFICINA DE MASSAGEM/ AUTO-MASSAGEM
0101020015;AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL
0101020023;AÇÃO COLETIVA DE BOCHECHO FLUORADO
0101020031;AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA
0101020040;AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA
0101020058;APLICAÇÃO DE CARIOSTÁTICO (POR DENTE)
0101020066;APLICAÇÃO DE SELANTE (POR DENTE)
0101020074;APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO)
0101020082;EVIDENCIAÇÃO DE PLACA BACTERIANA
0101020090;SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA
0101030010;VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO
0101030029;VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR
0101040016;APLICAÇÃO DE SUPLEMENTOS DE MICRONUTRIENTES
0101040024;AVALIAÇÃO ANTROPOMÉTRICA
0101040032;COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)
0101040040;PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS)
0101040059;ADMINISTRAÇÃO DE VITAMINA A
0101040067;APLICAÇÃO DE SUPLEMENTOS DE MICRONUTRIENTES
0101050011;PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA
0101050020;TERAPIA COMUNITÁRIA
0101050038;DANÇA CIRCULAR/BIODANÇA
0101050046;YOGA
0101050054;OFICINA DE MASSAGEM/ AUTO-MASSAGEM
0101050062;SESSÃO DE ARTETERAPIA
0101050070;SESSÃO DE MEDITAÇÃO
0101050089;SESSÃO DE MUSICOTERAPIA
0101050097;SESSÃO DE ANTROPOSOFIA APLICADA - SAÚDE
0101050100;SESSÃO DE BIODANÇA
0101050119;SESSÃO DE BIOENERGÉTICA
0101050127;SESSÃO DE CONSTELAÇÃO FAMILIAR
0101050135;SESSÃO DE DANÇA CIRCULAR
0101050143;SESSÃO DE TERMALISMO
0102010013;APLICACAO DE MULTA
0102010021;APLICACAO DE ADVERTENCIA
0102010030;APLICACAO DE INTERDICAO DE PRODUTO
0102010048;APLICACAO DE INTERDICAO PARCIAL / TOTAL DE ESTABELECIMENTO
0102010056;ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO
0102010064;ANÁLISE DE PROJETOS BÁSICOS DE ARQUITETURA
0102010072;CADASTRO DE ESTABELECIMENTOS SUJEITOS - VIGILÂNCIA SANITÁRIA
0102010080;CANCELAMENTO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO DE SAUDE
0102010099;CANCELAMENTO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO EXCETO OS DE SAUDE
0102010102;COLETA DE AMOSTRA P/ ANALISE DE CONTROLE
0102010110;COLETA DE AMOSTRA P/ ANALISE FISCAL
0102010129;EMISSAO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO DE SAUDE
